,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_intercept,param_l1_ratio,param_max_iter,param_normalize,param_tol,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
19,0.003073883056640625,0.0005421528903185825,0.0021179676055908202,0.0003269025501626729,0.1,True,0.05,1000000,True,0.001,"{'alpha': 0.1, 'fit_intercept': True, 'l1_ratio': 0.05, 'max_iter': 1000000, 'normalize': True, 'tol': 0.001}",-0.14473158375702963,-0.17554173526392308,-0.1630539510634944,-0.14222279467639246,-0.148645321933811,-0.1548390773389301,0.012615695115351044,16,0.03139207663970067,0.029479223082110595,0.028341758164344033,0.019650590167861415,0.03149285557868087,0.028071300726539516,0.004374890836801686,16
20,0.0029476642608642577,0.0002483645418516427,0.002036285400390625,0.00021659539423034415,0.1,True,0.05,1000000,True,0.0001,"{'alpha': 0.1, 'fit_intercept': True, 'l1_ratio': 0.05, 'max_iter': 1000000, 'normalize': True, 'tol': 0.0001}",-0.14473159215802714,-0.17554174433847572,-0.16305395990958538,-0.1422228031147202,-0.14864533095679988,-0.15483908609552166,0.012615695325840231,18,0.03139202041650091,0.029479172911466733,0.02834170544941661,0.0196505320020125,0.03149279678887773,0.028071245513654898,0.004374891616117346,18
21,0.0026626110076904295,0.0005715993302709614,0.0020487308502197266,0.0003144772690678268,0.1,True,0.05,1000000,False,0.01,"{'alpha': 0.1, 'fit_intercept': True, 'l1_ratio': 0.05, 'max_iter': 1000000, 'normalize': False, 'tol': 0.01}",-0.015747460460374087,-0.020661507206719137,-0.020580994426500424,-0.017609454040309207,-0.019658430912509645,-0.018851569409282502,0.0019024276155844627,4,0.894611013168157,0.8857683502079362,0.8773553616502332,0.8786170816347427,0.8719143627314665,0.8816532338785071,0.00784058370123754,4
22,0.002785205841064453,0.00033568370734773944,0.0022811412811279295,0.00044552481632366354,0.1,True,0.05,1000000,False,0.001,"{'alpha': 0.1, 'fit_intercept': True, 'l1_ratio': 0.05, 'max_iter': 1000000, 'normalize': False, 'tol': 0.001}",-0.015740784764873384,-0.020695735500124518,-0.020571193993783037,-0.01767305051854513,-0.01965201113961106,-0.018866555183387423,0.0019007119328541251,6,0.8946556898820303,0.8855791116211215,0.8774137636157257,0.8781787076733264,0.8719561911310216,0.8815566927846451,0.007855034764602205,6
23,0.0028923988342285157,0.00032996044664735866,0.002205562591552734,0.0002667653708705141,0.1,True,0.05,1000000,False,0.0001,"{'alpha': 0.1, 'fit_intercept': True, 'l1_ratio': 0.05, 'max_iter': 1000000, 'normalize': False, 'tol': 0.0001}",-0.01573965470125831,-0.020694694735348337,-0.02057032754075602,-0.01767661475755586,-0.019649503319113484,-0.0188661590108064,0.001900074014759321,5,0.8946632527687413,0.885584865716224,0.8774189269142496,0.8781541391812038,0.8719725309797113,0.881558743112026,0.007855733010863558,5
24,0.0023128509521484373,0.0001974195326283207,0.0019414424896240234,0.00029895624974692503,1.0,False,0.04,1000000,True,0.01,"{'alpha': 1.0, 'fit_intercept': False, 'l1_ratio': 0.04, 'max_iter': 1000000, 'normalize': True, 'tol': 0.01}",-145.6528751051779,-145.42501888425429,-145.0926414716862,-145.72815565640968,-145.22731195945101,-145.4252006153958,0.24222839115841785,55,-973.7736135045999,-803.0139406087526,-863.6246226855978,-1003.5120525071591,-945.236903845938,-917.8322266304097,73.95024109677242,55
25,0.002702140808105469,0.00043326686330217294,0.002205657958984375,0.0004559750781337493,1.0,False,0.04,1000000,True,0.001,"{'alpha': 1.0, 'fit_intercept': False, 'l1_ratio': 0.04, 'max_iter': 1000000, 'normalize': True, 'tol': 0.001}",-145.65461524930257,-145.42545939906074,-145.09227227723815,-145.72770415288747,-145.2281448396669,-145.42563918363118,0.24240908679361925,59,-973.7852593205521,-803.016376090956,-863.6224226111688,-1003.5089402689799,-945.2423305248877,-917.8350657633089,73.95125052253692,59
26,0.002372121810913086,0.0003908595704720761,0.0020492076873779297,0.0004087688311712459,1.0,False,0.04,1000000,True,0.0001,"{'alpha': 1.0, 'fit_intercept': False, 'l1_ratio': 0.04, 'max_iter': 1000000, 'normalize': True, 'tol': 0.0001}",-145.65448490706365,-145.42542722269988,-145.0922850443046,-145.72773887864676,-145.22806438061653,-145.4256000866663,0.24240272817724623,57,-973.7843870125039,-803.0161981969259,-863.622498691664,-1003.5091796355154,-945.2418062893174,-917.8348139651853,73.951179219402,57
27,0.002790975570678711,0.0007256647150761321,0.002203845977783203,0.0003085702596534289,1.0,False,0.04,1000000,False,0.01,"{'alpha': 1.0, 'fit_intercept': False, 'l1_ratio': 0.04, 'max_iter': 1000000, 'normalize': False, 'tol': 0.01}",-145.6528751051779,-145.42501888425429,-145.0926414716862,-145.72815565640968,-145.22731195945101,-145.4252006153958,0.24222839115841785,55,-973.7736135045999,-803.0139406087526,-863.6246226855978,-1003.5120525071591,-945.236903845938,-917.8322266304097,73.95024109677242,55
28,0.004599857330322266,0.0010207311288445379,0.0037666797637939454,0.0012457407271409253,1.0,False,0.04,1000000,False,0.001,"{'alpha': 1.0, 'fit_intercept': False, 'l1_ratio': 0.04, 'max_iter': 1000000, 'normalize': False, 'tol': 0.001}",-145.65461524930257,-145.42545939906074,-145.09227227723815,-145.72770415288747,-145.2281448396669,-145.42563918363118,0.24240908679361925,59,-973.7852593205521,-803.016376090956,-863.6224226111688,-1003.5089402689799,-945.2423305248877,-917.8350657633089,73.95125052253692,59
29,0.0035288333892822266,0.0007391026250606556,0.0028050422668457033,0.0009051074115129315,1.0,False,0.04,1000000,False,0.0001,"{'alpha': 1.0, 'fit_intercept': False, 'l1_ratio': 0.04, 'max_iter': 1000000, 'normalize': False, 'tol': 0.0001}",-145.65448490706365,-145.42542722269988,-145.0922850443046,-145.72773887864676,-145.22806438061653,-145.4256000866663,0.24240272817724623,57,-973.7843870125039,-803.0161981969259,-863.622498691664,-1003.5091796355154,-945.2418062893174,-917.8348139651853,73.951179219402,57
30,0.00364537239074707,0.0010601860740194992,0.0029343128204345702,0.0007626899013082347,1.0,False,0.05,1000000,True,0.01,"{'alpha': 1.0, 'fit_intercept': False, 'l1_ratio': 0.05, 'max_iter': 1000000, 'normalize': True, 'tol': 0.01}",-145.5941422296331,-145.35343002083596,-145.07430333972067,-145.66041774022673,-145.19306213899011,-145.37507109388133,0.22515404004642248,49,-973.3805470630003,-802.6181459606082,-863.515343536286,-1003.0451313901588,-945.0137471708404,-917.5145830241787,73.90506584221546,49
31,0.0052031993865966795,0.002435038583895813,0.004889631271362304,0.0024966567296098524,1.0,False,0.05,1000000,True,0.001,"{'alpha': 1.0, 'fit_intercept': False, 'l1_ratio': 0.05, 'max_iter': 1000000, 'normalize': True, 'tol': 0.001}",-145.59565383602558,-145.35312031890638,-145.0739381555408,-145.6599466358713,-145.19382128834496,-145.37529604693776,0.22531087085143095,53,-973.3906634031297,-802.6164337059307,-863.5131673595305,-1003.041884042377,-945.0186934521245,-917.5161683926184,73.90706226928883,53
32,0.005114221572875976,0.0009443678550976417,0.003661489486694336,0.0006111926489892281,1.0,False,0.05,1000000,True,0.0001,"{'alpha': 1.0, 'fit_intercept': False, 'l1_ratio': 0.05, 'max_iter': 1000000, 'normalize': True, 'tol': 0.0001}",-145.59553680836078,-145.35314115555153,-145.07394457751082,-145.66001869444685,-145.1937441510993,-145.37527707739383,0.2253164953651669,51,-973.3898802021142,-802.6165489058687,-863.5132056288278,-1003.0423807460323,-945.018190859964,-917.5160412685615,73.90697998981238,51
33,0.026448774337768554,0.02673428114891942,0.00370635986328125,0.0018481513441881005,1.0,False,0.05,1000000,False,0.01,"{'alpha': 1.0, 'fit_intercept': False, 'l1_ratio': 0.05, 'max_iter': 1000000, 'normalize': False, 'tol': 0.01}",-145.5941422296331,-145.35343002083596,-145.07430333972067,-145.66041774022673,-145.19306213899011,-145.37507109388133,0.22515404004642248,49,-973.3805470630003,-802.6181459606082,-863.515343536286,-1003.0451313901588,-945.0137471708404,-917.5145830241787,73.90506584221546,49
34,0.006955957412719727,0.0091164208552114,0.0020362377166748048,0.0004648029384984675,1.0,False,0.05,1000000,False,0.001,"{'alpha': 1.0, 'fit_intercept': False, 'l1_ratio': 0.05, 'max_iter': 1000000, 'normalize': False, 'tol': 0.001}",-145.59565383602558,-145.35312031890638,-145.0739381555408,-145.6599466358713,-145.19382128834496,-145.37529604693776,0.22531087085143095,53,-973.3906634031297,-802.6164337059307,-863.5131673595305,-1003.041884042377,-945.0186934521245,-917.5161683926184,73.90706226928883,53
35,0.004787015914916992,0.005338268316540148,0.001785421371459961,0.00017666695088574074,1.0,False,0.05,1000000,False,0.0001,"{'alpha': 1.0, 'fit_intercept': False, 'l1_ratio': 0.05, 'max_iter': 1000000, 'normalize': False, 'tol': 0.0001}",-145.59553680836078,-145.35314115555153,-145.07394457751082,-145.66001869444685,-145.1937441510993,-145.37527707739383,0.2253164953651669,51,-973.3898802021142,-802.6165489058687,-863.5132056288278,-1003.0423807460323,-945.018190859964,-917.5160412685615,73.90697998981238,51
36,0.004992532730102539,0.00503345025791706,0.0020658016204833985,0.00037940008081799916,1.0,True,0.04,1000000,True,0.01,"{'alpha': 1.0, 'fit_intercept': True, 'l1_ratio': 0.04, 'max_iter': 1000000, 'normalize': True, 'tol': 0.01}",-0.14959913306333014,-0.18087997415429805,-0.16808681125671734,-0.14697250562176317,-0.15360115997588267,-0.15982791681439826,0.012806721440990593,19,-0.001183721282503658,-3.4395132217035496e-05,-0.001649665256284072,-0.0130894240665822,-0.0007971922203249271,-0.0033508795915823788,0.004897965745125513,19
37,0.002512025833129883,0.00016987248638053893,0.001778888702392578,0.00013168481243598502,1.0,True,0.04,1000000,True,0.001,"{'alpha': 1.0, 'fit_intercept': True, 'l1_ratio': 0.04, 'max_iter': 1000000, 'normalize': True, 'tol': 0.001}",-0.14959913306333014,-0.18087997415429805,-0.16808681125671734,-0.14697250562176317,-0.15360115997588267,-0.15982791681439826,0.012806721440990593,19,-0.001183721282503658,-3.4395132217035496e-05,-0.001649665256284072,-0.0130894240665822,-0.0007971922203249271,-0.0033508795915823788,0.004897965745125513,19
38,0.005742311477661133,0.006772462713619878,0.0017936229705810547,0.00018171744212809514,1.0,True,0.04,1000000,True,0.0001,"{'alpha': 1.0, 'fit_intercept': True, 'l1_ratio': 0.04, 'max_iter': 1000000, 'normalize': True, 'tol': 0.0001}",-0.14959913306333014,-0.18087997415429805,-0.16808681125671734,-0.14697250562176317,-0.15360115997588267,-0.15982791681439826,0.012806721440990593,19,-0.001183721282503658,-3.4395132217035496e-05,-0.001649665256284072,-0.0130894240665822,-0.0007971922203249271,-0.0033508795915823788,0.004897965745125513,19
39,0.0030694007873535156,0.0018201201315789116,0.0019841670989990236,0.0005505423434242892,1.0,True,0.04,1000000,False,0.01,"{'alpha': 1.0, 'fit_intercept': True, 'l1_ratio': 0.04, 'max_iter': 1000000, 'normalize': False, 'tol': 0.01}",-0.026187682229015876,-0.03592527122154525,-0.034539798581956445,-0.029089005142482163,-0.029945306648408745,-0.0311374127646817,0.003594905868236201,7,0.8247404205563772,0.8013793011416949,0.7941731571384454,0.7994879154995959,0.8048896322227668,0.8049340853117759,0.010491784625784083,7
40,0.0026674270629882812,0.00048418001370638527,0.001823282241821289,0.0002879297622528956,1.0,True,0.04,1000000,False,0.001,"{'alpha': 1.0, 'fit_intercept': True, 'l1_ratio': 0.04, 'max_iter': 1000000, 'normalize': False, 'tol': 0.001}",-0.02622025102677216,-0.03600058223899971,-0.03458760064009255,-0.029140024359831974,-0.030012268972220278,-0.031192145447583336,0.003604808564375831,9,0.8245224557228408,0.8009629277529934,0.7938882988847097,0.7991362372771788,0.804453335350623,0.8045926509976692,0.010533252307936997,9
41,0.002581167221069336,0.0004546124404312068,0.0018376827239990235,0.00025598195328739375,1.0,True,0.04,1000000,False,0.0001,"{'alpha': 1.0, 'fit_intercept': True, 'l1_ratio': 0.04, 'max_iter': 1000000, 'normalize': False, 'tol': 0.0001}",-0.02621671068698801,-0.03599188394603749,-0.03458243828888759,-0.029137025894410303,-0.030004923389589114,-0.0311865964411825,0.0036033147210795787,8,0.8245461492462398,0.8010110181631221,0.7939190619607519,0.799156905861376,0.8045011959167389,0.8046268662296457,0.010530389592548647,8
